merchant_number,all_transactions,harmonic,sum_amounts
62006362101600,226,10.4808736323,24714012
62006362103359,1,0.0147058824,1004
62006362103485,87,3.1136767828,53820816
62006362065893,151,2.4309970782,2507848018
62006362062014,31,0.6103466102,231054016
62006362068421,54,1.1363755549,113407016
62006362025609,180,3.2258885247,301628209
62006362109955,4,0.049404761900000004,13011
62006362102697,21,1.4467869736,1390526031
62006362066372,76,5.7843901406,18874107
62006362027500,157,4.9704524534,40890235
62006362048081,11,0.2924909691,104994017
62006362054677,1443,381.0761980487,2120146607
62006362101947,1106,17.583413166,288204015
62006362052724,106,2.8296712141,20748016
62006362060924,241,11.1088459257,9581582123
62006362013191,303,25.8033775878,796132235
62006362059216,32,0.9450651213000001,305094107
62006362067783,67,2.521793615,702723012
62006362064872,339,20.9103715719,271753012
62006362102407,619,35.7866593476,54008012
62006362104292,118,2.8759933018,6917388428
62006362042617,38,0.5693859,287723013
62006362106642,18,0.231490733,2861002007
62006362010370,116,4.0671626991,4692542
62006362102621,76,4.9185045552,5526012
62006362055654,626,78.30286454,650138107
62006362056354,27,1.6424007237,651357130
62006362044321,39,9.2235344205,1458875061
62006362107236,23,0.2792502234,407863007
62006362043835,31,0.5060814116,28462008
62006362062639,69,6.4497907454,1063705021
62006362040184,8,0.12519878140000001,665015028
62006362103295,194,20.0086209209,349803012
62006362103145,73,0.9245389161,92722007
62006362027481,280,14.8104789665,20698012
62006362003243,1904,105.8119376222,143229535
62006362046025,105,11.6199459046,371042289
62006362029638,78,2.7481959605,22124017
62006362031136,22,0.3683648799,923794008
62006362061081,41,2.49091448,415802008
62006362058620,55,1.8386040786,562482008
62006362100402,62,6.45591852,139462562
62006362104250,370,6.4929365706,997528375
62006362008394,99,3.3864136753,43689017
62006362063735,132,5.5692640331,186548012
62006362014247,168,4.181458157,276117028
62006362103583,133,8.4387525284,185401004
62006362103624,158,4.1074311742,782641015
62006362100501,6,0.1282460916,24016
62006362034283,27,0.4685593518,10422016
62006362024692,57,1.4769646403,25164024
62006362045214,2,0.0467391304,2006
62006362036568,74,1.0739755526,2831070107
62006362103909,330,16.0611596238,2799801023
62006362029860,122,1.5734526274,43508012
62006362102786,172,7.1556914995,25988015
62006362057980,8,0.15386428600000002,459403012
62006362061855,62,0.8861038891,67339012
62006362107934,97,1.2721587541,323674011
62006362021681,136,2.3434928217,6524348
62006362105710,19,0.4353179833,37602007
62006362108840,9,0.1157202727,81393009
62006362053340,147,9.7807828896,14491185119
62006362023960,68,2.8317901907,180478122
62006362031231,92,2.4351970521,3477225111
62006362061836,64,5.2316281132,4490200107
62006362045328,11,0.2817155067,3579107
62006362057112,156,19.1727728764,73968008
62006362037710,26,0.4585673664,1060185018
62006362047716,486,25.5254420609,84971512
62006362028196,60,1.2241784172,23724016
62006362101528,559,48.0960987502,909232000
62006362035875,28,0.5959357349000001,12521611
62006362036349,8,0.2802166419,600003012
62006362107920,4,0.0517105444,26027009
62006362054807,8,0.6261957555000001,2406021
62006362108944,13,0.1668647114,3202007
62006362056530,28,8.3606087753,98347000
62001821200001,5,0.5823763955,14016
62006362109892,219,2.5508385295,21360007
62006362014418,229,9.1140228967,3611495907
62006362104828,5,0.17567287780000002,14015
62006362065457,3,0.0731688596,3012
62006362108331,3,0.046031746000000005,12007
62006362024134,4,0.0566255778,22008
62006362110039,3,0.038319705,3009
62006362110459,8,0.09329685360000001,2415007
62006362065296,7,0.8641025641000001,8987000
62006362023125,1,0.025641025600000002,1007
62006362036777,39,3.3649749184,10226024
62006362061423,109,11.8852778033,1968907012
62006362000077,258,7.3217875916,1181118734
62006362109316,11,0.1339935482,19897007
62006362019450,5,0.15316499050000001,14023
62006362019143,53,0.9875150953,45019107
62006362068407,6,0.0995447078,105025
62006362055158,31,0.38909865180000003,42636004
62006362007758,11,0.2895884022,249765017
62006362062901,9,0.1831933209,56252008
62006362055434,20,0.3753349763,128189013
62006362108507,16,0.2210250657,3483011
62006362062598,8,0.1407865449,1042313103
62006362054761,272,14.1734781795,545058516
62006362038985,6,0.0948078492,34022
62006362107884,36,0.5436149671,241177031
62006362024954,12,0.2547973193,470704115
62006362005621,4,0.1034090909,4016
62006362109218,9,0.1205555556,192841000
62006362044828,2,0.0555555556,2008
62006362042914,4,0.0693581781,4017
62006362110070,3,0.0345679012,12006
62006362042529,1,0.025641025600000002,1004
62006362104545,4,0.0735816341,1503011
62006362061206,27,0.6771579443,609014017
62006362108740,39,0.4886725531,27228009
62006362108035,4,0.047947172,13014
62006362056545,3,0.5416666667,3012
62006362065379,5,0.1510727368,14018
62006362052661,6,0.0910509031,692008
62006362052307,3,0.0473972603,490002012
62006362109697,10,0.11890756300000001,828511
62006362110828,4,0.0454604159,23011
62006362028164,2,0.052663438300000004,2008
62006362037349,1,0.011111111100000001,1004
62006362104819,1,0.012345679,1003
62006362031093,30,0.7599882829,62134024
62006362065042,3,0.06693887280000001,3012
62006362014088,3,0.1098901099,3009
62006362015687,62,1.1699120511,134094107
62006362044718,18,2.3707859197,279383000
62006362066034,277,7.5873586145,468301012
62006362031253,789,45.5000740326,264160012
62006362107802,156,2.4832210128,19513012
62006362103999,18,1.2962673984,611626021
62006362104224,33,0.6234188295,224775016
62006362002050,89,3.7961350261,149004107
62006362101289,17,1.4609393594,437842008
62006362100833,112,5.9572144819,63758012
62006362036241,68,2.3872605876,240652838
62006362102194,76,2.6013658852,252450116
62006362002112,17,0.3776429297,93013012
62006362101434,46,3.4975018997,2367604004
62006362101682,48,3.3911989141,659905012
62006362063128,119,6.4656366557,1955210311
62006362053923,3,0.1984848485,3020
62006362100286,36,0.7379593479000001,39675012
62006362015796,5,0.1329228243,14016
62006362045476,52,2.3795991880000003,366090433
62006362035692,44,1.2617193734,37317022
62006362067467,38,2.135657377,63612004
62006362110084,122,1.445938661,133516009
62006362105964,169,2.6670061128,66144012
62006362069200,366,20.4281107754,130481012
62006362050669,13,0.23847642700000002,950383020
62006362061065,46,5.7155751282,1308111004
62006362068247,82,2.1731613468,29370021
62006362022832,132,3.2493179124,169826123
62006362061916,472,20.9421544021,1557790107
62006362108187,532,6.8085755216,35294614
62006362061875,44,4.478453528,27910000
62006362023457,1013,59.6889216045,227389437
62006362034229,79,6.4261763455,2102838418
62006362052679,359,25.4802692603,450107600
62006362024427,290,7.1713359568,1274582847
62006362100428,127,3.6981955536,229893107
62006362026339,47,2.3858852774,9454884024
62006362066529,277,11.0366396732,893506344
62006362106214,48,0.7559695166,25511011
62006362103210,41,3.6730989709,487281004
62006362045232,83,5.4716467848,437797036
62006362057434,11,0.8258068228000001,3953012
62006362066725,365,32.3737337884,813812016
62006362032921,120,7.7622236817,20930008
62006362024590,181,6.1034389953,29805012
62006362105552,94,1.519351297,102996093
62006362109470,15,0.1739882119,4814011
62006362058286,42,2.1796360998,18770000
62006362061722,290,23.7415975413,151035103
62006362011965,76,2.1860986905,65263012
62006362104889,42,0.8718380326,2032360016
62006362024944,107,2.2802556237,73099107
62006362011649,109,2.0839376769,85654036
62006362004514,126,4.5560847794,89184016
62006362063520,490,20.4906133536,50478012
62006362034190,159,16.7404186383,138883012
62006362051730,28,0.5754663038,29763008
62006362065803,32,1.6463623429,8498012
62006362046978,17,0.8882956464,27953016
62006362105116,49,0.6660687177,159696308
62006362111560,74,0.8433095715000001,15554009
62006362063259,3,0.0619047619,3012
62006362104710,108,3.1000274436,32008831
62006362039605,1,0.0212765957,1002
62006362103931,371,11.073023746,92265015
62006362035742,7,0.1930984556,20015029
62006362107026,77,1.1481855514000001,46263608
62006362040752,1328,101.4106012553,1534583018
62006362005106,539,16.3619656089,169167107
62006362007660,35,2.2664075262,87523012
62006362023749,74,1.9179230521,45641022
62006362102679,42,0.7985137360000001,908505019
62006362015958,4,0.09712643680000001,13012
62006362063188,16,0.8208985566,14503012
62006362107428,30,0.4776534442,11691015
62006362069309,60,1.5584874707,8479025
62006362055740,83,6.6393240915,749216790
62006362031725,59,2.5006744811,197404107
62006362102989,3,0.0685185185,3015
62006362044737,217,6.3815334488,109149012
62006362034179,144,2.8796592001,14913128
62006362049206,4,0.0555555556,22008
62006362066220,868,26.4929558066,82380516
62006362036465,133,5.0792811496,2238665111
62006362058176,156,8.3637625358,221310360
62006362102415,17,0.8160173294,9084015
62006362064769,181,9.0407493273,25148607
62006362010591,223,4.490081563,164211122
62006362009050,4,0.0970257809,13012
